Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Hand Covering Mouth
2024-12-05 15:03:28,0.2,0.48,59.12,10.0,10,No Fatigue,No
2024-12-05 15:03:29,0.42,0.48,75.51,10.0,10,No Fatigue,Yes
2024-12-05 15:03:30,0.22,0.48,73.41,13.33,10,No Fatigue,Yes
2024-12-05 15:03:30,0.18,0.48,71.74,16.67,10,No Fatigue,Yes
2024-12-05 15:03:31,0.12,0.48,68.51,20.0,10,No Fatigue,Yes
2024-12-05 15:03:32,0.13,0.48,71.57,23.33,10,No Fatigue,Yes
2024-12-05 15:03:33,0.1,0.27,77.41,26.67,10,No Fatigue,No
2024-12-05 15:03:34,0.11,0.31,77.64,30.0,10,No Fatigue,No
2024-12-05 15:03:35,0.15,0.5,78.89,33.33,10,Yawning Detected,No
2024-12-05 15:03:35,0.15,0.29,92.0,36.67,10,No Fatigue,No
2024-12-05 15:03:36,0.28,0.23,95.97,36.67,10,No Fatigue,No
2024-12-05 15:03:37,0.21,0.42,98.75,36.67,10,No Fatigue,No
2024-12-05 15:03:37,0.2,0.25,119.12,33.33,10,No Fatigue,No
2024-12-05 15:03:38,0.18,0.27,99.37,36.67,10,No Fatigue,No
2024-12-05 15:03:39,0.27,0.35,99.46,26.67,10,No Fatigue,No
2024-12-05 15:03:39,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:03:40,0.11,0.47,90.49,20.0,10,No Fatigue,No
2024-12-05 15:03:41,0.12,0.48,87.44,26.67,10,No Fatigue,No
2024-12-05 15:03:42,0.1,0.3,96.4,33.33,10,No Fatigue,No
2024-12-05 15:03:43,0.15,0.37,101.51,33.33,10,No Fatigue,No
2024-12-05 15:03:43,0.17,0.33,110.39,36.67,10,No Fatigue,No
2024-12-05 15:03:44,0.16,0.38,98.13,36.67,10,No Fatigue,No
2024-12-05 15:03:45,0.24,0.92,94.18,36.67,10,Yawning Detected,No
2024-12-05 15:03:46,0.17,1.09,92.31,26.67,10,Yawning Detected,No
2024-12-05 15:03:47,0.16,0.96,90.78,30.0,10,Yawning Detected,No
2024-12-05 15:03:48,0.17,0.37,92.18,23.33,10,No Fatigue,No
