Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue
2024-12-05 09:04:21,0.26072662185051493,0.31348453356283684,91.63657704161672,0.0,0,No Fatigue
2024-12-05 09:04:22,0.24945985391715395,0.3203681987145476,92.41950921665634,0.0,0,No Fatigue
2024-12-05 09:04:23,0.24034693801786544,0.30140433078749745,90.81845546168861,0.0,0,No Fatigue
2024-12-05 09:04:25,0.21073371375326844,0.30678599553894814,104.62087398863166,25.0,0,No Fatigue
2024-12-05 09:04:26,0.21455615677031786,0.3919691910639088,82.1998121158183,40.0,0,No Fatigue
2024-12-05 09:04:27,0.2547939122808268,0.4038110860096793,94.96974072811031,33.33333333333333,0,No Fatigue
2024-12-05 09:04:28,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:04:29,0.252116192364723,0.375365086335328,83.06565109873044,28.57142857142857,0,No Fatigue
2024-12-05 09:04:30,0.3086337342509896,0.3899573598618553,86.68221883166515,25.0,0,No Fatigue
2024-12-05 09:04:32,0.1807792344754306,0.43740508731854905,87.47388308838046,33.33333333333333,0,No Fatigue
2024-12-05 09:04:33,0.2514986357768493,0.3153049467765703,90.0,30.0,0,No Fatigue
2024-12-05 09:04:34,0.22997689566208118,0.31666666666666665,89.27477570094075,36.36363636363637,0,No Fatigue
2024-12-05 09:04:35,0.17768977038991385,0.40384615384615385,87.58049078334366,41.66666666666667,0,No Fatigue
2024-12-05 09:04:36,0.24501104275186067,0.26544592379906395,84.03551289874689,38.46153846153847,0,No Fatigue
2024-12-05 09:04:38,0.27040480588477933,0.2569599038929026,87.39743779750019,35.714285714285715,0,No Fatigue
2024-12-05 09:04:40,0.2560148912276713,0.27473428472446815,91.76239102366053,33.33333333333333,0,No Fatigue
2024-12-05 09:04:42,0.26557770569903827,0.2994614536397336,92.6025622024998,31.25,0,No Fatigue
2024-12-05 09:04:44,0.25447617317219395,0.29389175021515956,91.70981404414152,29.411764705882355,0,No Fatigue
2024-12-05 09:04:46,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:04:48,0.26831443565853036,0.3218729060920221,90.78482460299189,27.77777777777778,0,No Fatigue
2024-12-05 09:04:50,0.25083188666062767,0.2968744359607666,90.80692945510238,26.31578947368421,0,No Fatigue
2024-12-05 09:04:52,0.2060575757966337,0.35185185185185186,88.40885972880542,30.0,0,No Fatigue
2024-12-05 09:04:53,0.2351952807617015,0.22264916252402472,86.53177074108285,28.57142857142857,0,No Fatigue
2024-12-05 09:04:54,0.228789630360266,0.2362075176964294,90.0,31.818181818181817,0,No Fatigue
2024-12-05 09:04:55,0.25021916826554336,0.29667102762173625,86.47854662307776,30.434782608695656,0,No Fatigue
2024-12-05 09:04:57,0.24485713757520508,0.3022607082089597,88.23760897633949,29.166666666666668,0,No Fatigue
2024-12-05 09:04:59,0.2486029543698184,0.3080649090421709,87.31622484053102,28.000000000000004,0,No Fatigue
2024-12-05 09:05:01,0.251176670253739,0.3330773169105142,89.10482628978893,26.923076923076923,0,No Fatigue
2024-12-05 09:05:03,0.27250675702843785,0.32668153786023735,87.31622484053102,25.925925925925924,0,No Fatigue
2024-12-05 09:05:05,0.20877153416328637,0.29361010975735174,90.0,28.57142857142857,0,No Fatigue
2024-12-05 09:05:06,0.2006039804211817,0.24079223494389712,83.94580810588516,31.03448275862069,0,No Fatigue
2024-12-05 09:05:07,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:05:08,0.29367975553425324,0.43103448275862066,92.83411101630651,30.0,0,No Fatigue
2024-12-05 09:05:09,0.17259822013453002,0.37675541348437186,92.41950921665634,33.33333333333333,0,No Fatigue
2024-12-05 09:05:11,0.26944528789322153,0.2904772968526389,94.26789330029081,33.33333333333333,0,No Fatigue
2024-12-05 09:05:12,0.20025639068756448,0.27232246579934893,93.41658819177135,36.666666666666664,0,No Fatigue
2024-12-05 09:05:13,0.19216427813723358,0.2724675736307039,81.3843518158359,36.666666666666664,0,No Fatigue
2024-12-05 09:05:14,0.2453590809665623,0.23702273156998863,81.11934084947976,33.33333333333333,0,No Fatigue
2024-12-05 09:05:15,0.19174865646856365,0.25515180867979564,82.9834982552771,36.666666666666664,0,No Fatigue
2024-12-05 09:05:16,0.20072466852877735,0.2731521246407836,82.11686068327027,40.0,0,No Fatigue
2024-12-05 09:05:18,0.17651525991465672,0.25987523706824256,81.3843518158359,43.333333333333336,0,No Fatigue
2024-12-05 09:05:19,0.2252088588427758,0.2853204334312226,81.99527114270714,43.333333333333336,0,No Fatigue
2024-12-05 09:05:20,0.19388834174782082,0.2835966259731332,81.99527114270714,46.666666666666664,0,No Fatigue
2024-12-05 09:05:21,0.26555023960353585,0.2646355877657468,82.11686068327027,43.333333333333336,0,No Fatigue
2024-12-05 09:05:22,0.24595188327373427,0.3498949422158532,101.76828893202065,40.0,0,No Fatigue
2024-12-05 09:05:23,0.2436947202997511,0.3125,93.22452260651991,40.0,0,No Fatigue
2024-12-05 09:05:25,0.17658813244233829,0.3951031760728878,79.2157021324374,43.333333333333336,0,No Fatigue
2024-12-05 09:05:26,0.2584324762723838,0.25059699201458513,84.88268515002737,43.333333333333336,0,No Fatigue
2024-12-05 09:05:27,0.25583661461300694,0.26845172104237336,83.94580810588516,43.333333333333336,0,No Fatigue
2024-12-05 09:05:28,0.2902387195506512,0.3018867924528302,83.08877288097531,43.333333333333336,0,No Fatigue
2024-12-05 09:05:29,0.2563733480883565,0.3096252066532073,86.58341180822866,43.333333333333336,0,No Fatigue
