Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue
2024-12-05 09:05:27,0.33828241021906347,0.3700086686616332,75.96375653207353,43.333333333333336,0,No Fatigue
2024-12-05 09:05:28,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:05:29,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:05:31,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:05:32,0.2570415262316942,0.48598335734671244,83.6598082540901,36.666666666666664,1,No Fatigue
2024-12-05 09:05:33,0.287153793798391,0.5312204080710939,88.31531568210372,36.666666666666664,2,No Fatigue
2024-12-05 09:05:34,0.2785784355367447,0.37170851182207615,80.62293930569564,36.666666666666664,2,No Fatigue
2024-12-05 09:05:36,0.20832589211996788,0.46057217652479143,84.6290053044643,36.666666666666664,3,No Fatigue
2024-12-05 09:05:37,0.2727614385095585,0.48852210405860463,83.05901657125743,36.666666666666664,4,No Fatigue
2024-12-05 09:05:38,0.2958381077522131,0.6622798721863192,79.77783136636388,33.33333333333333,5,No Fatigue
2024-12-05 09:05:39,0.26946884753912276,0.3708884574950742,80.70669140060288,30.0,5,No Fatigue
2024-12-05 09:05:41,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:05:42,N/A,N/A,N/A,N/A,N/A,No Face Detected
2024-12-05 09:05:43,0.17096520355996375,0.428137961404012,82.59308787150478,30.0,5,No Fatigue
2024-12-05 09:05:44,0.2684302066764812,0.42866509153830207,122.06194368281355,26.666666666666668,5,No Fatigue
