2024-12-11 22:10:12,0.15,0.31,88.21,40.0,0,No Fatigue,0.18,Not Yawning
2024-12-11 22:10:13,0.13,0.33,92.49,40.0,0,No Fatigue,0.16,Not Yawning
2024-12-11 22:10:14,0.28,0.36,91.61,36.67,0,No Fatigue,0.19,Not Yawning
2024-12-11 22:10:16,0.25,0.31,91.64,33.33,0,No Fatigue,0.17,Not Yawning
2024-12-11 22:10:17,0.3,0.3,93.22,33.33,0,No Fatigue,0.17,Not Yawning
2024-12-11 22:10:18,0.27,0.33,92.42,30.0,0,No Fatigue,0.16,Not Yawning
2024-12-11 22:10:19,0.13,0.33,90.0,30.0,0,No Fatigue,0.18,Not Yawning
2024-12-11 22:10:20,0.21,0.35,91.64,33.33,0,No Fatigue,0.19,Not Yawning
2024-12-11 22:10:21,0.27,0.33,94.14,33.33,0,No Fatigue,0.18,Not Yawning
2024-12-11 22:10:22,0.21,0.36,94.09,36.67,0,No Fatigue,0.19,Not Yawning
2024-12-11 22:10:24,0.27,0.36,93.22,30.0,0,No Fatigue,0.21,Not Yawning
2024-12-11 22:10:25,0.27,0.35,93.27,26.67,0,No Fatigue,0.19,Not Yawning
2024-12-11 22:10:26,0.25,0.35,90.74,30.0,0,No Fatigue,0.21,Not Yawning
2024-12-11 22:10:27,0.23,0.34,92.35,30.0,0,No Fatigue,0.16,Not Yawning
2024-12-11 22:10:28,0.21,0.44,92.32,33.33,0,No Fatigue,0.0,Mouth Covered
2024-12-11 22:10:29,0.24,0.35,92.77,36.67,0,No Fatigue,0.14,Not Yawning
2024-12-11 22:10:31,0.29,0.32,86.82,33.33,0,No Fatigue,0.15,Not Yawning
2024-12-11 22:10:32,0.21,0.36,91.51,33.33,0,No Fatigue,0.13,Not Yawning
2024-12-11 22:10:33,0.17,0.33,102.14,40.0,0,No Fatigue,0.14,Not Yawning
2024-12-11 22:10:36,0.19,0.3,95.0,36.67,0,No Fatigue,0.15,Not Yawning
2024-12-11 22:10:38,0.23,0.3,92.17,40.0,0,No Fatigue,0.19,Not Yawning
2024-12-11 22:10:39,0.19,0.35,92.07,50.0,0,No Fatigue,0.15,Not Yawning
2024-12-11 22:10:40,0.2,0.34,95.06,56.67,0,No Fatigue,0.13,Not Yawning
2024-12-11 22:10:41,0.16,0.29,94.46,63.33,0,No Fatigue,0.15,Not Yawning
2024-12-11 22:10:42,0.17,0.3,95.19,70.0,0,No Fatigue,0.17,Not Yawning
2024-12-11 22:10:44,0.24,0.3,95.71,66.67,0,No Fatigue,0.17,Not Yawning
2024-12-11 22:10:45,0.1,0.28,95.06,76.67,0,No Fatigue,0.15,Not Yawning
2024-12-11 22:10:46,0.27,0.29,93.53,76.67,0,No Fatigue,0.16,Not Yawning
2024-12-11 22:10:47,0.2,0.28,92.9,73.33,0,No Fatigue,0.17,Not Yawning
2024-12-11 22:10:48,0.17,0.26,93.67,76.67,0,No Fatigue,0.17,Not Yawning
2024-12-11 22:10:49,0.2,0.28,93.67,80.0,0,No Fatigue,0.17,Not Yawning
2024-12-11 22:10:50,0.24,0.29,94.34,76.67,0,No Fatigue,0.16,Not Yawning
2024-12-11 22:10:51,0.23,0.27,94.4,73.33,0,No Fatigue,0.16,Not Yawning
2024-12-11 22:10:52,0.22,0.28,93.67,70.0,0,No Fatigue,0.16,Not Yawning
2024-12-11 22:10:53,0.22,0.26,94.4,70.0,0,No Fatigue,0.16,Not Yawning
