Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Audio Fatigue,Yawning Confidence,Yawning
2024-12-11 11:30:53,0.18,0.29,101.61,56.67,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:30:54,0.24,0.37,95.96,60.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:30:55,0.21,0.33,100.52,60.0,0,No Fatigue,No Audio,0.17,Not Yawning
2024-12-11 11:30:57,0.19,0.39,96.81,63.33,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:30:58,0.2,0.32,102.09,70.0,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:30:59,0.19,0.31,100.38,73.33,0,No Fatigue,No Audio,0.18,Not Yawning
2024-12-11 11:31:01,0.19,0.29,97.54,73.33,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:31:02,0.16,0.3,96.71,76.67,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:31:03,0.21,0.33,98.37,86.67,0,No Fatigue,No Audio,0.17,Not Yawning
2024-12-11 11:31:05,0.22,0.42,96.43,90.0,0,No Fatigue,No Audio,0.17,Not Yawning
2024-12-11 11:31:06,0.31,0.42,92.97,86.67,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:31:07,0.16,0.42,99.21,86.67,0,No Fatigue,No Audio,0.18,Not Yawning
2024-12-11 11:31:09,0.22,0.36,96.34,90.0,0,No Fatigue,No Audio,0.2,Not Yawning
2024-12-11 11:31:10,0.21,0.37,97.91,90.0,0,No Fatigue,No Audio,0.17,Not Yawning
2024-12-11 11:31:11,0.05,0.42,93.97,90.0,0,No Fatigue,No Audio,0.18,Not Yawning
2024-12-11 11:31:12,0.08,0.37,98.24,83.33,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:31:14,0.19,0.44,99.21,83.33,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:31:15,0.29,0.32,94.09,83.33,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:31:16,0.16,0.38,91.57,83.33,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:31:17,0.32,0.35,90.76,80.0,0,No Fatigue,No Audio,0.19,Not Yawning
2024-12-11 11:31:18,0.17,0.32,90.0,80.0,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:31:20,0.3,0.34,92.45,76.67,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:31:21,0.26,0.38,88.43,66.67,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:31:22,0.2,0.44,91.55,66.67,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:31:24,0.24,0.38,95.63,63.33,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:31:25,0.27,0.41,88.47,66.67,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:31:26,0.2,0.45,89.25,60.0,0,No Fatigue,No Audio,0.09,Not Yawning
2024-12-11 11:31:27,0.16,0.49,89.25,66.67,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:31:28,0.14,0.25,91.53,66.67,0,No Fatigue,No Audio,0.0,Mouth Covered
2024-12-11 11:31:30,0.16,0.27,90.0,73.33,0,No Fatigue,No Audio,0.0,Mouth Covered
2024-12-11 11:31:31,0.27,0.31,93.22,70.0,0,No Fatigue,No Audio,0.19,Not Yawning
2024-12-11 11:31:32,0.25,0.38,94.9,73.33,0,No Fatigue,No Audio,0.18,Not Yawning
2024-12-11 11:31:33,0.33,0.35,99.09,66.67,0,No Fatigue,No Audio,0.13,Not Yawning
2024-12-11 11:31:34,0.19,0.33,95.71,66.67,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:31:36,0.24,0.26,74.74,66.67,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:31:37,0.24,0.26,74.39,70.0,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:31:38,N/A,0.0,N/A,N/A,N/A,No Face Detected,No Audio,N/A,N/A
2024-12-11 11:31:39,N/A,0.0,N/A,N/A,N/A,No Face Detected,No Audio,N/A,N/A
2024-12-11 11:31:40,N/A,0.0,N/A,N/A,N/A,No Face Detected,No Audio,N/A,N/A
2024-12-11 11:31:41,N/A,0.0,N/A,N/A,N/A,No Face Detected,No Audio,N/A,N/A
2024-12-11 11:31:42,0.16,0.34,90.0,63.33,0,No Fatigue,No Audio,0.18,Not Yawning
2024-12-11 11:31:43,0.21,0.31,91.71,63.33,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:31:45,0.18,0.29,87.4,63.33,0,No Fatigue,No Audio,0.11,Not Yawning
2024-12-11 11:31:46,0.24,0.33,83.29,63.33,0,No Fatigue,No Audio,0.11,Not Yawning
2024-12-11 11:31:47,0.2,0.32,97.65,70.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:31:48,0.21,0.3,94.33,76.67,0,No Fatigue,No Audio,0.13,Not Yawning
