Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Yawning,Yawning Confidence,Audio Fatigue
2024-12-10 21:39:01,0.43,0.42,86.91,0.0,6,No Fatigue,neutral,0.05,Not Yawning
2024-12-10 21:39:02,0.34,0.38,86.13,0.0,6,No Fatigue,neutral,0.06,Not Yawning
2024-12-10 21:39:03,0.27,0.37,84.07,0.0,6,No Fatigue,neutral,0.05,Not Yawning
2024-12-10 21:39:04,0.34,0.3,84.29,0.0,6,No Fatigue,neutral,0.05,Not Yawning
2024-12-10 21:39:06,0.3,0.36,83.33,0.0,6,No Fatigue,neutral,0.06,Not Yawning
2024-12-10 21:39:07,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:08,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:09,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:11,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:12,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:13,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:14,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:15,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:16,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:17,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:19,0.33,0.36,86.47,0.0,6,No Fatigue,neutral,0.03,Not Yawning
2024-12-10 21:39:20,0.34,0.38,85.12,0.0,6,No Fatigue,neutral,0.04,Not Yawning
2024-12-10 21:39:21,0.37,0.33,83.66,0.0,6,No Fatigue,neutral,0.03,Not Yawning
2024-12-10 21:39:22,0.31,0.34,88.45,0.0,6,No Fatigue,neutral,0.03,Not Yawning
2024-12-10 21:39:23,0.4,0.35,83.83,0.0,6,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:39:24,0.35,0.35,85.3,0.0,6,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:39:25,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:27,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:28,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:29,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:30,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:31,0.39,0.39,86.86,0.0,7,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:39:32,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:33,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:34,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:35,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:36,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:37,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:38,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:39,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:40,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:41,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:43,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:44,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:45,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:46,0.37,0.28,90.0,0.0,3,No Fatigue,neutral,0.14,Not Yawning
2024-12-10 21:39:47,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:48,0.38,0.35,85.43,0.0,2,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:39:49,0.32,0.29,79.77,0.0,2,No Fatigue,neutral,0.2,Not Yawning
2024-12-10 21:39:50,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:51,0.29,0.35,81.6,0.0,2,No Fatigue,neutral,0.27,Not Yawning
2024-12-10 21:39:52,0.29,0.35,83.99,0.0,2,No Fatigue,neutral,0.13,Not Yawning
2024-12-10 21:39:53,0.34,0.31,87.37,0.0,2,No Fatigue,neutral,0.26,Not Yawning
2024-12-10 21:39:55,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:56,0.36,0.37,87.95,0.0,2,No Fatigue,neutral,0.33,Not Yawning
2024-12-10 21:39:57,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:39:58,0.28,0.44,82.96,0.0,2,No Fatigue,neutral,0.26,Not Yawning
2024-12-10 21:39:59,0.36,0.35,90.0,0.0,2,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:40:00,0.37,0.39,90.0,0.0,2,No Fatigue,neutral,0.03,Not Yawning
2024-12-10 21:40:02,0.23,0.4,90.0,3.33,2,No Fatigue,neutral,0.03,Not Yawning
2024-12-10 21:40:03,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:40:04,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:40:05,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:40:06,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:40:07,0.3,0.39,88.0,3.33,2,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:40:08,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:40:09,0.3,0.28,90.0,3.33,2,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:11,0.34,0.36,83.95,3.33,2,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:12,0.33,0.35,87.47,3.33,2,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:13,0.31,0.34,86.58,3.33,1,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:14,0.32,0.35,87.55,3.33,1,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:15,0.32,0.33,87.44,3.33,1,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:16,0.33,0.36,88.29,3.33,1,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:18,0.34,0.35,87.51,0.0,1,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:19,0.32,0.36,87.47,0.0,1,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:40:20,0.37,0.44,86.03,0.0,1,No Fatigue,neutral,0.03,Not Yawning
2024-12-10 21:40:21,0.38,0.44,86.73,0.0,1,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:40:22,0.35,0.5,84.21,0.0,1,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:40:24,0.4,0.44,87.61,0.0,1,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:40:25,0.33,0.42,87.58,0.0,1,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:40:26,0.32,0.39,88.41,0.0,1,No Fatigue,neutral,0.03,Not Yawning
2024-12-10 21:40:27,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:40:28,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
